Claim_Date,Claim_Amount
2026-02-01T00:00:00.000,42794430.953502685
2026-03-01T00:00:00.000,42562084.61232765
2026-04-01T00:00:00.000,41386995.0299102
2026-05-01T00:00:00.000,43015941.37337446
2026-06-01T00:00:00.000,45011979.232061334
2026-07-01T00:00:00.000,45732023.156212024
2026-08-01T00:00:00.000,45729035.971954495
2026-09-01T00:00:00.000,43064309.56329242
2026-10-01T00:00:00.000,45223237.65677511
2026-11-01T00:00:00.000,43079587.444695026
2026-12-01T00:00:00.000,47178558.004785635
2027-01-01T00:00:00.000,46883336.729826376
2027-02-01T00:00:00.000,45828239.87879185
2027-03-01T00:00:00.000,45595893.53761681
2027-04-01T00:00:00.000,44420803.95519936
2027-05-01T00:00:00.000,46049750.29866362
2027-06-01T00:00:00.000,48045788.15735049
2027-07-01T00:00:00.000,48765832.081501186
2027-08-01T00:00:00.000,48762844.897243656
2027-09-01T00:00:00.000,46098118.48858158
2027-10-01T00:00:00.000,48257046.58206426
2027-11-01T00:00:00.000,46113396.36998419
2027-12-01T00:00:00.000,50212366.930074796
2028-01-01T00:00:00.000,49917145.65511554
